,,
,,
,Номенклатура на счетоводните сметки,
,,
,Сметка,Описание
,679,679 Други застрахователни разходи от закупени презастрахователни договори
,,Група 68: Разходи по активно презастраховане
,681,681 Брутни възникнали щети
,682,682 Разходи за участие в резултата
,683,683 Разходи за уреждане на претенции по възникнали щети по активно презастраховане
,684,684 Очаквани аквизиционни разходи - отстъпени
,685,685 Разходи за заделени пасиви за възникнали щети и пасиви за остатъчно покритие по активно презастраховане
,689,689 Други разходи по активно презастраховане
,,група 69: Извънредни разходи
,691,691 Разходи от отписване на кредитни експозиции
,692,692 Разходи от модификация на кредитни експозиции
,699,699 Извънредни разходи 
,,Раздел 7: Сметки за приходи 
,,група 70: Приходи от Продажби 
,701,701 Приходи от продажби на продукти 
,702,702 Приходи от продажби на стоки 
,703,703 Приходи от продажби на услуги 
,7031,7031 Приходи от такси на фондове
,704,704 Приходи от наеми 
,705,705 Приходи от продажби на дълготрайни активи 
,706,706 Приходи от продажба на суровини/материали 
,707,707 Приходи от последваща оценка на активи 
,708,708 Приходи от финансирания 
,709,709 Други приходи от дейността 
,,група 72: Финансови приходи 
,721,721 Приходи от лихви 
,722,722 Приходи от съучастия 
,723,723 Приходи от операции с финансови активи и инструменти 
,724,724 Приходи от валутни операции 
,725,725 Приходи от последващи оценки на финансови активи и инструменти
,726,726 Приходи от такси
,727,727 Приходи от комисионни 
,728,728 Приходи от реинтегрирани провизии 
,729,729 Други финансови приходи 
,,Група 75 Приходи за бъдещи периоди и финансирания 
,751,751 Нефинансови приходи за бъдещи периоди
,752,752 Финансови приходи за бъдещи периоди 
,753,753 Финансиране за дълготрайни активи 
,754,754 Финансиране на текущата дейност 
,755,755 Приходи от субсидии
,,Група 76: Приходи по пряко застраховане
,761,761 Застрахователни приходи
,762,762 Приходи от застрахователни комисиони и такси
,763,763 Приходи по застраховане от минали години
,764,764 Приходи от регреси
,765,765 Приходи от освободени пасиви за възникнали щети и пасиви за остатъчно покритие
,769,769 Други застрахователни приходи
,,Група 77: Приходи от пасивно презастраховане
,771,771 Приходи от закупени презастрахователни договори
,772,772 Приходи от участие в резултата на презастрахователя
,773,773 Аквизиционни разходи - отстъпени
,774,774 Приходи от пасивно презастраховане от минали години
,775,775 Загуби от обременителни договори - отстъпени
,776,776 Приходи от заделени пасиви за възникнали щети и пасиви за остатъчно покритие - отстъпени 
,779,779 Други приходи по пасивно презастраховане
,,Група 78: Приходи по активно презастраховане
,781,781 Приходи от презастрахователни премии
,782,782 Приходи от активно презастраховане от минали години
,783,783 Приходи от регреси по активно презастраховане
,784,784 Приходи от освободени пасиви за възникнали щети и пасиви за остатъчно покритие по активно презастраховане
,789,789 Други приходи по активно презастраховане
,,група 76: Извънредни приходи 
,791,791 Приходи от отписване на кредитни експозиции
,792,792 Приходи от модификация на кредитни експозиции
,799,799 Извънредни приходи 
,,Раздел 9: Сметки за условни активи и пасиви 
,,"група 91: Чужди материални, нематериални и финансови активи на съхранение "
,911,911 Наети чужди активи 
,912,"912 Чужди материални активи, получени по консигнационен договор "
,913,"913 Mатериални активи, приети на съхранение "
,914,"914 Финансови активи, приети на съхранение "
,,група 92: Задбалансови сметки за финансови институции /банки 
,921,921 Изписани непогасени вземания по кредитни сделки
,922,"922 Условни вземания по кредитни сделки (задбалансови лихви, законови лихви, юрисконсулски възнаграждения)"
,923,"923 Операции за покупка / продажба на деривати - FX Spot, IRS, Flexible Forward"
,924,924 Отчитане на разрешен неизползван овърдрафт 
,925,925 Разрешен неизползван ангажимент
,926,926 Разрешена неизползвана кредитна линия
,927,927 Номинали Облигации
,,група 98: Други условни активи 
,981,"981 Чужди материални и нематериални активи, получени като обезпечение "
,982,"982 Чужди финансови активи, получени като обезпечение "
,983,"983 Менителници или записи на заповед, получени като обезпечение "
,984,984 Други условни активи 
,989,989 Кореспондираща сметка за условни активи 
,,група 99: Други условни пасиви 
,991,"991 Собствени материални и нематериални активи, предоставени като обезпечение "
,992,"992 Собствени финансови активи, предоставени като обезпечение "
,993,"993 Менителници или записи на заповед, предоставени като обезпечение "
,994,994 Други условни пасиви 
,999,999 Кореспондираща сметка за условни пасиви 
